70009_b,buffer
70121_D,boundingBox
70122_E,onGround
70123_F,collidedHorizontally
70124_G,collidedVertically
70125_A,rotationPitch
70126_B,prevRotationYaw
70127_C,prevRotationPitch
70128_L,removed
70133_I,velocityChanged
70136_U,lastTickPosZ
70137_T,lastTickPosY
70138_W,stepHeight
70140_Q,distanceWalkedModified
70141_P,prevDistanceWalkedModified
70142_S,lastTickPosX
70143_R,fallDistance
70144_Y,entityCollisionReduction
70145_X,noClip
70146_Z,rand
70148_d,firstUpdate
70150_b,nextStepDistance
70155_l,renderDistanceWeight
70156_m,preventEntitySpawning
70158_ak,ignoreFrustumCheck
70160_al,isAirBorne
70162_ai,chunkCoordY
70164_aj,chunkCoordZ
70166_s,prevPosZ
70167_r,prevPosY
70169_q,prevPosX
70170_p,world
70171_ac,inWater
70172_ad,hurtResistantTime
70173_aa,ticksExisted
70175_ag,addedToChunk
70176_ah,chunkCoordX
70177_z,rotationYaw
70180_af,dataManager
70221_f,shatterOrDrop
70222_d,targetZ
70223_e,despawnTimer
70224_b,targetX
70225_c,targetY
70230_d,accelerationZ
70232_b,accelerationX
70233_c,accelerationY
70249_b,arrowShake
70251_a,pickupStatus
70252_j,ticksInGround
70254_i,inGround
70255_ao,damage
70256_ap,knockbackStrength
70261_a,innerRotation
70262_b,lightningState
70263_c,boltLivingTime
70264_a,boltVertex
70273_g,lerpYaw
70281_h,lerpX
70290_d,hoverStart
70291_e,health
70292_b,age
70457_g,itemStack
70458_d,player
70460_b,armorInventory
70461_c,currentItem
70462_a,mainInventory
70464_b,width
70465_c,eventHandler
70466_a,stackList
70467_a,stackResult
70473_e,currentRecipeIndex
70474_b,slots
70476_a,merchant
70477_b,upperChest
70478_c,lowerChest
70480_d,listeners
70481_b,slotsCount
70482_c,inventoryContents
70488_a,associatedChest
70499_f,isInReverse
70500_g,MATRIX
70506_as,velocityZ
70507_ar,velocityY
70508_aq,velocityX
70509_j,minecartY
70510_h,turnProgress
70511_i,minecartX
70512_ao,minecartYaw
70513_ap,minecartPitch
70514_an,minecartZ
70516_a,fuse
70520_f,tickCounter1
70522_e,art
70529_d,xpOrbHealth
70530_e,xpValue
70531_b,xpOrbAge
70532_c,delayBeforeCanPickup
70533_a,xpColor
70544_f,particleScale
70545_g,particleGravity
70546_d,age
70547_e,maxAge
70551_j,particleBlue
70552_h,particleRed
70553_i,particleGreen
70566_as,coordZ
70567_ar,coordY
70568_aq,coordX
70572_as,portalPosZ
70573_ar,portalPosY
70574_aq,portalPosX
70579_a,timeSinceStart
70580_aq,maximumTime
70594_ar,particleAge
70696_bz,attackTarget
70699_by,navigator
70701_bs,moveVertical
70702_br,moveStrafing
70703_bu,isJumping
70708_bq,idleTime
70709_bj,interpTargetPitch
70713_bf,activePotionsMap
70714_bg,goalSelector
70715_bh,targetSelector
70716_bi,newPosRotationIncrements
70717_bb,attackingPlayer
70718_bc,recentlyHit
70720_be,arrowHitTimer
70721_aZ,limbSwingAmount
70723_bA,senses
70725_aQ,deathTime
70728_aV,experienceValue
70729_aU,dead
70732_aI,prevSwingProgress
70733_aJ,swingProgress
70737_aN,hurtTime
70738_aO,maxHurtTime
70739_aP,attackedAtYaw
70741_aB,unused180
70744_aE,scoreValue
70746_aG,landMovementFactor
70747_aH,jumpMovementFactor
70749_g,lookController
70752_e,potionsNeedUpdate
70755_b,revengeTarget
70756_c,revengeTimer
70757_a,livingSoundTime
70758_at,prevRotationYawHead
70759_as,rotationYawHead
70760_ar,prevRenderYawOffset
70761_aq,renderYawOffset
70762_j,bodyController
70763_ax,prevMovedDistance
70764_aw,movedDistance
70765_h,moveController
70767_i,jumpController
70768_au,prevOnGroundSpeedFactor
70769_ao,randomUnused2
70770_ap,randomUnused1
70771_an,maxHurtResistantTime
70773_bE,jumpTicks
70811_b,squishFactor
70812_c,prevSquishFactor
70813_a,squishAmount
70833_d,timeSinceIgnited
70834_e,lastActiveTime
70847_d,heightOffset
70848_e,heightOffsetUpdateTime
70855_f,attackTimer
70856_g,holdRoseTick
70859_f,squidYaw
70860_g,prevSquidYaw
70861_d,squidPitch
70862_e,prevSquidPitch
70863_bz,randomMotionSpeed
70864_bA,rotationVelocity
70865_by,lastTentacleAngle
70866_j,tentacleAngle
70867_h,squidRotation
70868_i,prevSquidRotation
70869_bD,randomMotionVecY
70870_bE,randomMotionVecZ
70871_bB,rotateSpeed
70872_bC,randomMotionVecX
70881_d,inLove
70883_f,destPos
70884_g,oFlapSpeed
70886_e,wingRotation
70887_j,timeUntilNextEgg
70888_h,oFlap
70889_i,wingRotDelta
70899_e,sheepTimer
70914_e,aiTempt
70924_f,headRotationCourseOld
70925_g,isWet
70926_e,headRotationCourse
70927_j,prevTimeWolfIsShaking
70928_h,isShaking
70929_i,timeWolfIsShaking
70935_b,customer
70937_a,merchantInventory
70961_j,timeUntilReset
70976_f,ringBufferIndex
70977_g,dragonParts
70979_e,ringBuffer
70982_bz,dragonPartTail3
70983_bA,dragonPartRightWing
70984_by,dragonPartTail2
70985_j,dragonPartTail1
70986_h,dragonPartHead
70987_i,dragonPartBody
70988_bD,animTime
70990_bB,dragonPartLeftWing
70991_bC,prevAnimTime
70992_bH,closestEnderCrystal
70994_bF,slowed
70995_bG,deathTicks
71067_cb,experienceTotal
71068_ca,experienceLevel
71069_bz,container
71070_bA,openContainer
71071_by,inventory
71075_bZ,abilities
71076_b,sleepTimer
71078_a,enterChestInventory
71080_cy,prevTimeInPortal
71085_bR,chasingPosZ
71086_bY,timeInPortal
71087_bX,inPortal
71090_bL,xpCooldown
71091_bM,prevChasingPosX
71094_bP,chasingPosX
71095_bQ,chasingPosY
71096_bN,prevChasingPosY
71097_bO,prevChasingPosZ
71100_bB,foodStats
71101_bC,flyToggleTimer
71102_ce,speedInAir
71104_cf,fishingBobber
71106_cc,experience
71107_bF,prevCameraYaw
71109_bG,cameraYaw
71130_g,entityRemoveQueue
71133_b,server
71134_c,interactionManager
71135_a,connection
71136_j,queuedEndExit
71137_h,isChangingQuantityOnly
71138_i,ping
71139_cq,currentWindowId
71140_co,chatColours
71143_cn,chatVisibility
71144_ck,lastExperience
71146_ci,lastFoodLevel
71147_cj,wasHungry
71149_ch,lastHealth
71154_f,renderArmYaw
71155_g,renderArmPitch
71156_d,sprintToggleTimer
71157_e,sprintingTicksLeft
71158_b,movementInput
71159_c,mc
71163_h,prevRenderArmYaw
71164_i,prevRenderArmPitch
71174_a,connection
71280_D,buildLimit
71284_A,pvpEnabled
71285_B,allowFlight
71286_C,motd
71288_M,isDemo
71292_I,serverKeyPair
71293_J,serverOwner
71295_T,startProfiling
71296_Q,serverIsRunning
71299_R,timeOfLastWarning
71304_b,profiler
71305_c,worlds
71307_n,snooper
71310_m,anvilConverterForAnvilFile
71311_j,tickTimeArray
71315_w,tickCounter
71316_v,serverStopped
71317_u,serverRunning
71318_t,playerList
71319_s,serverPort
71320_r,hostname
71322_p,tickables
71325_x,onlineMode
71339_n,rconThread
71340_o,settings
71341_l,pendingCommandList
71342_m,rconQueryThread
71345_q,lanServerPing
71348_o,isGamePaused
71349_l,mc
71412_D,gameDir
71417_B,mouseHelper
71419_L,debugUpdateTime
71420_M,fpsCounter
71422_O,currentServerData
71424_I,profiler
71425_J,running
71426_K,debug
71427_U,snooper
71428_T,timer
71429_W,leftClickCounter
71432_P,instance
71433_S,crashReporter
71437_Z,integratedServer
71438_f,worldRenderer
71439_g,player
71441_e,world
71442_b,playerController
71444_a,memoryReserve
71445_n,isGamePaused
71446_o,textureManager
71449_j,session
71452_i,particles
71453_ak,networkManager
71454_w,skipRenderWorld
71455_al,integratedServerIsRunning
71456_v,ingameGUI
71459_aj,isDemo
71460_t,gameRenderer
71462_r,currentScreen
71464_q,standardGalacticFontRenderer
71465_an,debugProfilerName
71466_p,fontRenderer
71467_ac,rightClickDelayTimer
71469_aa,saveFormat
71470_ab,debugFPS
71474_y,gameSettings
71476_x,objectMouseOver
71510_d,crashReportFile
71511_b,cause
71512_c,crashReportSections
71513_a,description
71567_b,ILLEGAL_FILE_CHARACTERS
71576_a,crashReport
72307_f,hitResult
72334_f,maxZ
72336_d,maxX
72337_e,maxY
72338_b,minY
72339_c,minZ
72340_a,minX
72400_f,server
72401_g,bannedPlayers
72402_d,viewDistance
72403_e,DATE_FORMAT
72404_b,players
72405_c,maxPlayers
72407_n,commandsAllowedForAll
72408_o,playerPingIndex
72409_l,whiteListEnforced
72410_m,gameType
72411_j,whiteListedPlayers
72412_k,playerDataManager
72413_h,bannedIPs
72414_i,ops
72416_e,hostPlayerData
72448_b,y
72449_c,z
72450_a,x
72595_f,requestIdAsString
72596_d,requestId
72597_e,challengeValue
72598_b,timestamp
72599_c,randomChallenge
72618_c,rconThread
72619_a,running
72629_g,lastAuthCheckTime
72630_n,buffer
72632_l,worldName
72633_m,querySocket
72634_j,maxPlayers
72635_k,serverMotd
72636_h,queryPort
72637_i,serverPort
72638_v,lastQueryResponseTime
72639_u,output
72641_s,queryClients
72642_r,serverHostname
72643_q,queryHostname
72648_l,clientThreads
72649_j,serverSocket
72650_k,rconPassword
72657_g,loggedIn
72658_j,rconPassword
72659_h,clientSocket
72660_i,buffer
72666_a,HEX_DIGITS
72673_b,output
72674_a,byteArrayOutput
72738_E,damagedBlocks
72739_F,renderDistanceChunks
72749_I,countEntitiesRendered
72750_J,countEntitiesHidden
72755_R,renderInfos
72769_h,world
72770_i,textureManager
72773_u,ticks
72777_q,mc
72814_d,empty
72815_e,world
72816_b,chunkZ
72817_c,chunks
72818_a,chunkX
72984_F,profiler
72986_A,worldInfo
72995_K,isRemote
73003_n,prevRainingStrength
73004_o,rainingStrength
73005_l,updateLCG
73006_m,DIST_HASH_MAGIC
73008_k,skylightSubtracted
73011_w,dimension
73012_v,rand
73017_q,thunderingStrength
73018_p,prevThunderingStrength
73035_a,connection
73037_M,mc
73058_d,disableLevelSaving
73061_a,server
73068_P,allPlayersSleeping
73088_d,isDestroyingBlock
73089_e,initialDamage
73090_b,player
73091_c,gameType
73092_a,world
73093_n,initialBlockDamage
73094_o,durabilityRemainingOnBlock
73097_j,receivedFinishDiggingPacket
73100_i,ticks
73102_f,gameModeTicks
73103_d,demoTimeExpired
73104_e,demoEndedReminder
73105_c,displayedIntro
73112_e,partialBlockProgress
73115_a,miningPlayerEntId
73235_d,world
73238_a,empty
73251_h,world
73672_b,serverProperties
73692_f,banEndDate
73693_g,reason
73694_d,banStartDate
73695_e,bannedBy
73698_a,DATE_FORMAT
73701_b,sender
73702_a,command
73837_f,ticks
73838_g,overlayMessage
73839_d,mc
73840_e,persistantChatGUI
73841_b,itemRenderer
73842_c,rand
73843_a,prevVignetteBrightness
73844_j,animateOverlayMessageColor
73845_h,overlayMessageTime
73973_d,buttonResetDemo
73975_c,splashText
74277_g,lastSyncSysClock
74286_b,username
74295_a,DATE_FORMAT
74310_D,keyBindChat
74312_F,keyBindAttack
74313_G,keyBindUseItem
74314_A,keyBindJump
74316_C,keyBindDrop
74317_L,mc
74318_M,difficulty
74319_N,hideGUI
