70000_a,fillSnooper
70007_b,resetLog
70008_c,getLogContents
70012_b,setLocationAndAngles
70013_c,getBrightness
70015_d,setFire
70016_h,setVelocity
70018_K,markVelocityChanged
70020_e,read
70022_Q,getEntityString
70024_g,addVelocity
70026_G,isWet
70027_ad,isBurning
70028_i,isEntityEqual
70029_a,setWorld
70030_z,baseTick
70031_b,setSprinting
70032_d,getDistance
70033_W,getYOffset
70034_d,setRotationYawHead
70037_a,readAdditional
70038_c,isOffsetPositionInLiquid
70039_c,writeUnlessPassenger
70040_Z,getLookVec
70042_X,getMountedYOffset
70044_A,setOnFireFromLava
70047_e,getEyeHeight
70049_a,newFloatNBTList
70050_g,setAir
70051_ag,isSprinting
70052_a,setFlag
70057_ab,performHurtAnimation
70065_x,preparePlayerToSpawn
70066_B,extinguish
70067_L,canBeCollidedWith
70068_e,getDistanceSq
70071_h_,tick
70075_an,canBeAttackedWithItem
70076_C,outOfWorld
70079_am,getRotationYawHead
70080_a,setPositionAndRotation
70081_e,dealFireDamage
70083_f,getFlag
70086_ai,getAir
70087_a,newDoubleNBTList
70088_a,registerData
70089_S,isAlive
70090_H,isInWater
70092_e,getDistanceSq
70094_T,isEntityInsideOpaqueBlock
70097_a,attackEntityFrom
70098_U,updateRidden
70099_a,entityDropItem
70100_b_,onCollideWithPlayer
70101_b,setRotation
70103_a,handleStatusUpdate
70104_M,canBePushed
70106_y,remove
70107_b,setPosition
70108_f,applyEntityCollision
70111_Y,getCollisionBorderSize
70112_a,isInRangeToRenderDist
70185_h,getGravityVelocity
70186_c,shoot
70227_a,onImpact
70239_b,setDamage
70240_a,setKnockbackStrength
70241_g,getIsCritical
70242_d,getDamage
70243_d,setIsCritical
70265_b,setTimeSinceHit
70266_a,setDamageTaken
70267_i,getForwardDirection
70268_h,getTimeSinceHit
70269_c,setForwardDirection
70271_g,getDamageTaken
70296_d,markDirty
70297_j_,getInventoryStackLimit
70298_a,decrStackSize
70299_a,setInventorySlotContents
70300_a,isUsableByPlayer
70301_a,getStackInSlot
70302_i_,getSizeInventory
70304_b,removeStackFromSlot
70429_k,tick
70431_c,hasItemStack
70432_d,storeItemStack
70436_m,dropAllItems
70437_b,setItemStack
70440_f,armorItemInSlot
70441_a,addItemStackToInventory
70442_a,write
70443_b,read
70445_o,getItemStack
70447_i,getFirstEmptyStack
70448_g,getCurrentItem
70451_h,getHotbarSize
70452_e,storePartialItemStack
70455_b,copyInventory
70469_d,inventoryResetNeededOnSlotChange
70470_g,resetRecipeAndSlots
70471_c,setCurrentRecipeIndex
70486_a,read
70487_g,write
70489_a,getPos
70491_i,getDamage
70492_c,setDamage
70493_k,getRollingDirection
70494_i,setRollingDirection
70495_a,getPosOffset
70496_j,getRollingAmplitude
70497_h,setRollingAmplitude
70515_d,explode
70518_d,onValidSurface
70526_d,getXpValue
70527_a,getXPSplit
70528_g,getTextureByXP
70538_b,setColor
70541_f,multiplyParticleScaleBy
70543_e,multiplyVelocity
70599_aP,getSoundVolume
70604_c,setRevengeTarget
70605_aq,getMoveHelper
70606_j,setHealth
70608_bn,isSleeping
70609_aI,onDeathUpdate
70610_aX,isMovementBlocked
70613_aW,isServerWorld
70615_aA,eatGrassBonus
70617_f_,isOnLadder
70619_bc,updateAITasks
70623_bb,checkDespawn
70624_b,setAttackTarget
70625_a,faceEntity
70626_be,updateEntityActionState
70627_aG,getTalkInterval
70631_g_,isChild
70634_a,setPositionAndUpdate
70635_at,getEntitySenses
70636_d,livingTick
70637_d,setJumping
70638_az,getAttackTarget
